Class_Name,Top1_Accuracy,Top3_Accuracy,Top5_Accuracy,Samples
atoll butterflyfish,91.49,97.87,97.87,47
black-backed butterflyfish,96.0,100.0,100.0,50
crosshatch butterflyfish,97.37,100.0,100.0,38
fourspot butterflyfish,90.2,92.16,98.04,51
highfin coralfish,95.92,100.0,100.0,49
humphead bannerfish,95.92,100.0,100.0,49
indian redfin butterflyfish,94.34,94.34,100.0,53
indian vagabond butterflyfish,88.14,91.53,94.92,59
lined butterflyfish,98.0,100.0,100.0,50
long-beaked coralfish,97.96,100.0,100.0,49
longfin bannerfish,88.46,100.0,100.0,52
margined coralfish,96.3,100.0,100.0,27
masked bannerfish,100.0,100.0,100.0,51
ocellated coralfish,89.47,89.47,94.74,38
oval-spot butterflyfish,97.83,100.0,100.0,46
pacific double-saddle butterflyfish,92.16,92.16,92.16,51
panda butterflyfish,86.67,91.11,91.11,45
pennant bannerfish,85.42,91.67,93.75,48
phantom bannerfish,94.0,100.0,100.0,50
redfin butterflyfish,93.88,95.92,95.92,49
saddleback butterflyfish,94.12,98.04,98.04,51
speckled butterflyfish,93.88,97.96,100.0,49
teardrop butterflyfish,97.92,100.0,100.0,48
threadfin butterflyfish,89.09,98.18,100.0,55
triangular butterflyfish,98.04,100.0,100.0,51
two-eyed coralfish,97.37,100.0,100.0,38
vagabond butterflyfish,94.0,98.0,100.0,50
yellow-dotted butterflyfish,88.24,100.0,100.0,17
Class Mean,93.65,97.44,98.45,28
Overall,93.67,97.33,98.4,1311
