Class_Name,Top1_Accuracy,Top3_Accuracy,Top5_Accuracy,Samples
atoll butterflyfish,93.62,97.87,97.87,47
black-backed butterflyfish,94.0,98.0,98.0,50
crosshatch butterflyfish,94.74,97.37,97.37,38
fourspot butterflyfish,88.24,94.12,96.08,51
highfin coralfish,89.8,97.96,97.96,49
humphead bannerfish,89.8,97.96,100.0,49
indian redfin butterflyfish,90.57,96.23,98.11,53
indian vagabond butterflyfish,88.14,96.61,98.31,59
lined butterflyfish,92.0,98.0,100.0,50
long-beaked coralfish,97.96,100.0,100.0,49
longfin bannerfish,88.46,96.15,98.08,52
margined coralfish,92.59,100.0,100.0,27
masked bannerfish,98.04,100.0,100.0,51
ocellated coralfish,86.84,92.11,92.11,38
oval-spot butterflyfish,95.65,100.0,100.0,46
pacific double-saddle butterflyfish,92.16,92.16,94.12,51
panda butterflyfish,88.89,95.56,97.78,45
pennant bannerfish,83.33,89.58,89.58,48
phantom bannerfish,90.0,98.0,100.0,50
redfin butterflyfish,91.84,95.92,95.92,49
saddleback butterflyfish,90.2,96.08,98.04,51
speckled butterflyfish,93.88,95.92,97.96,49
teardrop butterflyfish,95.83,97.92,97.92,48
threadfin butterflyfish,89.09,96.36,100.0,55
triangular butterflyfish,94.12,96.08,100.0,51
two-eyed coralfish,97.37,100.0,100.0,38
vagabond butterflyfish,90.0,96.0,100.0,50
yellow-dotted butterflyfish,94.12,100.0,100.0,17
Overall,91.69,96.72,98.02,1311
